instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
293244165,1145485,BANKEX26JANFUT,"BANKEX",0,2026-01-29,0,0.05,30,FUT,BFO-FUT,BFO
298595077,1166387,BANKEX26FEBFUT,"BANKEX",0,2026-02-26,0,0.05,30,FUT,BFO-FUT,BFO
211574533,826463,BANKEX26MARFUT,"BANKEX",0,2026-03-25,0,0.05,30,FUT,BFO-FUT,BFO
292786437,1143697,SENSEX26JANFUT,"SENSEX",0,2026-01-29,0,0.05,20,FUT,BFO-FUT,BFO
298364421,1165486,SENSEX26FEBFUT,"SENSEX",0,2026-02-26,0,0.05,20,FUT,BFO-FUT,BFO
211344645,825565,SENSEX26MARFUT,"SENSEX",0,2026-03-25,0,0.05,20,FUT,BFO-FUT,BFO
291110661,1137151,SENSEX5026JANFUT,"SENSEX50",0,2026-01-29,0,0.05,75,FUT,BFO-FUT,BFO
297558533,1162338,SENSEX5026FEBFUT,"SENSEX50",0,2026-02-26,0,0.05,75,FUT,BFO-FUT,BFO
212559877,830312,SENSEX5026MARFUT,"SENSEX50",0,2026-03-25,0,0.05,75,FUT,BFO-FUT,BFO
291345413,1138068,BANKEX26JAN65900CE,"BANKEX",0,2026-01-29,65900,0.05,30,CE,BFO-OPT,BFO
292347397,1141982,BANKEX26JAN65900PE,"BANKEX",0,2026-01-29,65900,0.05,30,PE,BFO-OPT,BFO
293996805,1148425,BANKEX26JAN65800CE,"BANKEX",0,2026-01-29,65800,0.05,30,CE,BFO-OPT,BFO
294817541,1151631,BANKEX26JAN65800PE,"BANKEX",0,2026-01-29,65800,0.05,30,PE,BFO-OPT,BFO
293670917,1147152,BANKEX26JAN66000CE,"BANKEX",0,2026-01-29,66000,0.05,30,CE,BFO-OPT,BFO
294427397,1150107,BANKEX26JAN66000PE,"BANKEX",0,2026-01-29,66000,0.05,30,PE,BFO-OPT,BFO
291121925,1137195,BANKEX26JAN65700CE,"BANKEX",0,2026-01-29,65700,0.05,30,CE,BFO-OPT,BFO
291977733,1140538,BANKEX26JAN65700PE,"BANKEX",0,2026-01-29,65700,0.05,30,PE,BFO-OPT,BFO
292772613,1143643,BANKEX26JAN66100CE,"BANKEX",0,2026-01-29,66100,0.05,30,CE,BFO-OPT,BFO
293548037,1146672,BANKEX26JAN66100PE,"BANKEX",0,2026-01-29,66100,0.05,30,PE,BFO-OPT,BFO
